anime_id,title,title_english,image_url,source,episodes,status,airing,aired_string,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,premiered,broadcast,producer,licensor,studio,genre,duration_min,aired_from_year,numberofviews
4725,Ga-Rei: Zero,Ga-Rei-Zero,https://myanimelist.cdn-dena.com/images/anime/9/11355.jpg,Manga,12,Finished Airing,f,"Oct 6, 2008 to Dec 22, 2008","{'from': '2008-10-06', 'to': '2008-12-22'}",23 min. per ep.,R - 17+ (violence & profanity),7.72,74149,1058,470,171670,1964,Fall 2008,Mondays at 00:00 (JST),"Lantis, Kadokawa Shoten, Rakuonsha, Kadokawa Pictures Japan, KlockWorx",Funimation,"AIC Spirits, Asread","Action, Super Power, Supernatural, Thriller",23,2008.0,5156
32548,Imawa no Kuni no Alice,,https://myanimelist.cdn-dena.com/images/anime/11/78142.jpg,Manga,1,Finished Airing,f,"Jul 9, 2013","{'from': '2013-07-09', 'to': '2013-07-09'}",30 sec.,PG-13 - Teens 13 or older,6.3,518,6389,7348,1580,1,,,,,Production I.G,Action,0.5,2013.0,35
34055,Berserk 2nd Season,Berserk,https://myanimelist.cdn-dena.com/images/anime/12/85296.jpg,Manga,12,Finished Airing,f,"Apr 7, 2017 to Jun 23, 2017","{'from': '2017-04-07', 'to': '2017-06-23'}",24 min. per ep.,R - 17+ (violence & profanity),7.09,34287,3224,1159,70967,251,Spring 2017,Fridays at 22:30 (JST),"WOWOW, Mainichi Broadcasting System, Hakusensha, Ultra Super Pictures, LIDENFILMS, NBCUniversal Entertainment Japan, Lucent Pictures Entertainment, Docomo Anime Store, Koei Tecmo Games","Funimation, Crunchyroll","Millepensee, GEMBA","Action, Adventure, Demons, Drama, Fantasy, Horror, Magic, Military, Romance, Supernatural",24,2017.0,1434
34016,Hatsukoi Monster OVA,,https://myanimelist.cdn-dena.com/images/anime/2/81905.jpg,Manga,1,Finished Airing,f,"Feb 7, 2017","{'from': '2017-02-07', 'to': '2017-02-07'}",23 min.,PG-13 - Teens 13 or older,6.48,424,5680,4948,4809,10,,,,,Studio Deen,"Comedy, Romance, School, Shoujo",23,2017.0,24
10572,Ro-Kyu-Bu!,Ro-Kyu-Bu ~ Fast Break!,https://myanimelist.cdn-dena.com/images/anime/11/32643.jpg,Light novel,12,Finished Airing,f,"Jul 1, 2011 to Sep 23, 2011","{'from': '2011-07-01', 'to': '2011-09-23'}",24 min. per ep.,PG-13 - Teens 13 or older,6.98,25460,3651,1385,57684,184,Summer 2011,Unknown,"AT-X, Magic Capsule, Warner Bros., ASCII Media Works",Sentai Filmworks,"Barnum Studio, Project No.9, Studio Blanc","Ecchi, Sports, Comedy, School",24,2011.0,1820
3919,Shimaizuma: Shimaizuma 3 The Animation,Fleshdance,https://myanimelist.cdn-dena.com/images/anime/4/41675.jpg,Visual novel,2,Finished Airing,f,"Sep 25, 2007 to Nov 25, 2007","{'from': '2007-09-25', 'to': '2007-11-25'}",28 min. per ep.,Rx - Hentai,6.89,1194,,5878,3112,25,,,"Milky Animation Label, MS Pictures",Media Blasters,Studio Jam,Hentai,28,2007.0,144
26011,Super Backkom,Super Bernard,https://myanimelist.cdn-dena.com/images/anime/4/65799.jpg,Original,1,Finished Airing,f,2008,"{'from': None, 'to': None}",7 min.,G - All Ages,5.87,82,7654,11724,165,0,,,,,RG Animation Studios,"Comedy, Kids, Super Power",7,2008,10
5689,Eien no Filena,,https://myanimelist.cdn-dena.com/images/anime/12/11803.jpg,Light novel,6,Finished Airing,f,"Dec 21, 1992 to Feb 25, 1993","{'from': '1992-12-21', 'to': '1993-02-25'}",27 min. per ep.,R - 17+ (violence & profanity),5.92,135,7516,9254,580,1,,,Tokuma Shoten,,Studio Pierrot,"Adventure, Drama, Fantasy",27,1992.0,10
81,Mobile Suit Gundam: The 08th MS Team,Mobile Suit Gundam: The 08th MS Team,https://myanimelist.cdn-dena.com/images/anime/9/75618.jpg,Original,12,Finished Airing,f,"Jan 25, 1996 to Jul 25, 1999","{'from': '1996-01-25', 'to': '1999-07-25'}",24 min. per ep.,PG-13 - Teens 13 or older,8.1,24855,438,1668,44124,693,,,Atelier Musa,Bandai Entertainment,Sunrise,"Military, Sci-Fi, Adventure, Drama, Romance, Mecha",24,1996.0,1647
2123,Digimon X-Evolution,,https://myanimelist.cdn-dena.com/images/anime/6/30284.jpg,Original,1,Finished Airing,f,"Jan 3, 2005","{'from': '2005-01-03', 'to': '2005-01-03'}",1 hr. 20 min.,PG - Children,7.25,7888,2603,3116,14589,33,,,Bandai,,Toei Animation,"Action, Adventure, Fantasy, Sci-Fi",80,2005.0,718
